"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
17847,6/30/2025 0:00:00,9415,0,0,0,0,0,0,3442129,0,0,0,0,0,0,0,3456535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233408,0,0,0,7132072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,114,0,0,0,0,0,0,40
17849,6/30/2025 0:00:00,9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
17861,6/30/2025 0:00:00,9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193
17878,6/30/2025 0:00:00,9431,0,0,0,0,0,0,218532,0,0,0,0,0,0,0,1533609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47724,0,0,396201,2349277,0,0,0,0,153211,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14,23,0,0,0,0,0,0,62
17885,6/30/2025 0:00:00,9434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450082,0,0,0,0,281182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
17914,6/30/2025 0:00:00,9454,0,0,0,0,0,0,221771568,0,0,0,0,0,0,0,71490552,0,0,0,0,0,0,0,0,0,18991002,0,0,0,0,18137509,0,0,10883049,352145737,0,0,0,0,29863059,147,17,2,4,0,0,36,1,86,12,131,17,148,10,0,9,4,16,164,2541,3219,0,0,0,0,0,0,604
17953,6/30/2025 0:00:00,9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696264,0,0,0,0,78467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,49
17955,6/30/2025 0:00:00,9469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258524,1197603,0,0,0,0,8041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,1,0,0,0,0,0,38
17969,6/30/2025 0:00:00,9476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17990,6/30/2025 0:00:00,9484,0,0,0,0,0,0,14891313,0,0,0,0,0,0,0,30882114,0,0,0,0,0,0,0,0,0,6721483,0,0,0,0,0,0,0,687216,63498451,0,0,0,0,17037808,483,5,17,371,0,0,35,1,14,3,67,5,67,28,0,17,1,45,488,578,698,0,1,0,0,0,1,576
17999,6/30/2025 0:00:00,9488,0,0,0,0,0,0,1512263,0,0,0,0,0,0,0,11344327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15558,0,0,0,16114560,0,0,0,0,3242412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,325,0,0,0,0,0,0,518
18013,6/30/2025 0:00:00,9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18022,6/30/2025 0:00:00,9496,0,0,0,0,0,0,23884295,0,0,0,0,0,0,0,29897909,0,0,0,0,0,0,0,0,0,859468,0,0,0,0,1147406,0,0,550291,55603703,0,0,0,0,123802,57,3,0,0,0,0,8,0,11,0,19,3,21,38,0,0,3,38,60,767,584,0,0,0,0,0,0,200
18067,6/30/2025 0:00:00,9521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46549,966138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,177
18068,6/30/2025 0:00:00,9522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140727,576062,0,0,0,0,138250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
18090,6/30/2025 0:00:00,9531,0,0,0,0,0,0,5323019,0,0,0,0,0,0,0,3810299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675545,0,0,1555463,11411298,0,0,0,0,46972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,303,2,0,0,0,0,0,58
18142,6/30/2025 0:00:00,9555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18144,6/30/2025 0:00:00,9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
18150,6/30/2025 0:00:00,9560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779511,0,0,0,1023527,0,0,0,0,244016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
18172,6/30/2025 0:00:00,9568,0,0,0,0,0,0,444091,0,0,0,0,0,0,0,425071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269797,0,0,0,0,400635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,0,0,0,0,0,0,58
18175,6/30/2025 0:00:00,9571,0,0,0,0,0,0,12557198,0,0,0,0,0,0,0,36566878,0,0,0,0,0,0,0,0,0,525191,0,0,0,0,1806710,0,0,511566,56712877,0,0,0,0,5270525,0,36,0,0,0,0,0,0,0,31,0,36,36,0,0,0,0,0,36,482,691,0,0,0,0,0,0,318
