"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
63899,6/30/2025 0:00:00,18127,0,0,290261,31743,1,0,107124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20405459,0,0,0,0,0,0,0,0,03/01/2023,0,22420651,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,0,0
63903,6/30/2025 0:00:00,18131,0,0,18586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646564,0,0,0,0,0,0,0,0,,0,3565759,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,0,0,0
63923,6/30/2025 0:00:00,18151,0,0,2357559,-801312,1,0,990000,0,0,0,0,0,0,0,0,0,0,0,0,0,9688837,9649474,7750696,3379695,30468702,0,0,0,0,0,0,0,-3743247,0,714725,0,0,0,714725,0,0,0,0,0,246796785,0,0,0,0,0,0,0,0,01/01/2023,0,262583762,0,0,0,0,0,0,0,0,0,0,0,664820,0,0,0,0,0,0,0,0,0,15528
63932,6/30/2025 0:00:00,18160,0,45822449,8127583,4237620,1,0,9965538,0,0,0,0,0,0,0,0,0,0,0,0,34315841,9670019,0,0,0,43985860,5705928,496000,0,0,0,6201928,0,-1026963,0,1950000,0,0,0,1950000,0,0,0,0,75994,914853365,1,7606,7606,0,0,0,1,7606,01/01/2023,3011788,1035485491,0,0,0,0,0,0,0,0,0,0,0,6094329,0,0,461185,222,3028135,0,0,0,0,0
63940,6/30/2025 0:00:00,18168,0,0,628574,0,1,0,100089,0,0,0,0,0,0,0,0,0,0,0,0,3440207,2044204,4280860,5241901,981296,15988468,0,0,0,0,0,0,0,-1277216,0,40667,0,0,0,40667,0,0,0,0,0,40308038,0,0,0,0,0,0,0,0,Fiscal Year 2022,320000,42094410,0,0,0,0,0,0,0,0,0,0,0,207334,0,0,0,0,0,0,0,0,0,0
63943,6/30/2025 0:00:00,18171,0,0,612617,9199,1,6210,381328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1500000,500000,0,229571,4229571,0,0,0,94497,0,0,0,94497,0,0,0,0,0,44194201,0,0,0,0,0,0,0,0,01/01/2023,0,52034492,0,0,0,0,0,0,0,0,0,0,0,68774,0,0,0,0,0,0,0,0,0,0
63958,6/30/2025 0:00:00,18186,0,96492085,2240045,1547611,1,0,4815072,0,0,0,0,0,0,0,0,0,0,0,0,94617277,81026886,53392725,32266177,0,261303065,0,0,0,0,0,0,0,-9121506,0,1721847,0,0,0,1721847,0,0,0,0,0,1088768646,0,0,0,0,0,0,0,0,07/01/2023,1350646,1223824798,0,0,0,0,0,0,0,0,0,0,0,509342,0,0,0,0,0,0,0,0,0,0
63965,6/30/2025 0:00:00,18193,0,0,265303,-3995,1,0,112071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505000,2445000,980000,0,0,6930000,0,0,0,65516,0,0,0,65516,0,0,0,0,0,38597385,0,0,0,0,0,0,0,0,01/01/2023,0,42940256,0,0,0,0,0,0,0,0,0,0,0,100961,0,0,21114,0,0,0,0,0,0,0
63971,6/30/2025 0:00:00,18199,0,0,690097,0,1,0,317943,0,0,0,0,0,0,0,0,0,0,0,0,174588,0,0,0,0,174588,1715000,2695000,0,0,0,4410000,0,1306,0,225337,0,0,0,225337,0,0,0,0,0,93170149,0,0,0,0,0,0,0,0,01/01/2023,16289,105202085,0,0,0,0,0,0,0,0,0,0,0,615950,0,0,0,0,0,0,0,0,0,0
63977,6/30/2025 0:00:00,18205,0,0,405825,179235,1,0,98426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35927,0,0,0,35927,0,0,0,0,729,34570000,0,0,0,0,0,0,0,0,01/01/2023,0,38684348,0,0,0,0,0,0,0,0,0,0,0,12643,0,0,0,0,0,0,0,0,0,0
63988,6/30/2025 0:00:00,18216,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448000,996000,200000,0,0,1644000,0,0,0,0,0,0,0,0,0,0,0,0,0,6421695,0,0,0,0,0,0,0,0,,0,8499235,0,0,0,0,0,0,0,0,0,0,0,1363,0,0,0,0,0,0,0,0,0,0
64029,6/30/2025 0:00:00,18257,0,0,1636247,690187,1,0,1346502,0,0,0,0,0,0,0,0,0,0,0,0,655661,0,0,0,0,655661,2133242,1000000,593803,0,0,3727045,0,-2286,0,114705,0,0,0,114705,0,0,0,0,0,162931521,4,90684,49964,4,141321,141321,2,28229,01/01/2023,546543,181352391,0,0,0,0,0,0,0,0,0,0,0,508676,0,0,0,0,0,0,0,0,0,0
64030,6/30/2025 0:00:00,18258,0,0,419724,295261,1,0,2283192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125000,5026187,8069484,1913990,0,19134661,0,0,0,556300,0,0,0,556300,0,0,0,0,0,89804376,0,0,0,0,0,0,0,0,01/01/2023,0,104373857,0,0,0,0,0,0,0,0,0,0,0,401036,0,0,0,0,0,0,0,0,0,0
64034,6/30/2025 0:00:00,18262,0,0,337012,0,1,0,172514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64000,0,0,0,64000,0,0,0,0,0,12436164,0,0,0,0,0,0,0,0,01/01/2023,0,14364180,0,0,0,0,0,0,0,0,0,0,0,39634,0,0,0,0,0,13,1120066,0,0,0
64036,6/30/2025 0:00:00,18264,0,0,291088,1117568,1,0,1365865,0,0,0,0,0,0,0,0,0,0,0,0,125508,7357451,6051718,7285726,0,20820403,0,224787,0,0,0,224782,0,-2200706,0,515023,0,0,0,515023,0,0,0,0,0,114118270,0,0,0,0,0,0,0,0,01/01/2023,116816,122731783,0,0,0,0,0,0,0,0,0,0,0,421321,0,0,0,0,0,24,299898,0,0,0
64037,6/30/2025 0:00:00,18265,0,0,1102444,0,1,0,855016,0,0,0,0,0,0,0,0,0,0,0,0,498340,442020,5459881,1975828,13015029,21391098,0,0,0,0,0,0,0,-475627,0,352459,0,0,-1372,351087,0,0,0,0,13845,106584575,0,0,0,0,0,0,0,0,01/01/2023,562210,121215416,0,0,0,0,0,0,0,0,0,0,0,868450,0,0,0,0,0,0,0,0,0,0
64038,6/30/2025 0:00:00,18266,0,0,129986,0,1,0,15923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730852,0,0,0,0,0,0,0,0,06/01/2024,0,21620904,0,0,0,0,0,0,0,0,0,0,0,22825,0,0,0,0,0,0,0,0,0,0
64049,6/30/2025 0:00:00,18277,0,427133546,11777367,21799509,1,0,23082000,0,0,0,117104438,0,117104438,0,0,0,0,0,0,450245,7164170,12009492,301681083,0,321304990,0,0,0,0,0,0,0,-65051000,0,5023616,0,0,867000,5890616,0,0,0,0,1444000,3231321373,5,8888,8888,0,0,0,5,8888,01/01/2023,3209000,3596533878,0,0,0,0,0,0,0,0,0,0,0,16998023,0,5542885,-459,0,0,0,0,0,0,0
64056,6/30/2025 0:00:00,18284,0,0,243197,14019,1,0,172737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49891,0,0,0,49891,0,0,0,0,0,22450200,0,0,0,0,0,0,0,0,01/01/2023,183287,25500154,0,0,0,0,0,0,0,0,0,0,0,65479,0,0,0,0,0,0,0,0,0,0
64059,6/30/2025 0:00:00,18287,0,0,270177,0,1,0,48360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250000,2250000,2250000,4731044,1000000,12481044,0,0,0,16091,0,0,0,16091,0,0,0,0,0,62868389,0,0,0,0,0,0,0,0,01/01/2023,0,69845109,0,0,0,0,0,0,0,0,0,0,0,136559,0,0,0,0,0,0,0,0,0,0
64062,6/30/2025 0:00:00,18290,0,3700000,1340709,0,1,0,216327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,0,0,0,0,1864,75383789,0,0,0,0,0,0,0,0,01/01/2023,0,83340437,0,0,0,0,0,0,0,0,0,0,0,226805,0,0,0,0,0,0,0,0,0,0
64067,6/30/2025 0:00:00,18295,0,0,324098,0,1,0,29078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29078,0,0,0,29078,0,0,0,0,0,22169153,0,0,0,0,0,0,0,0,01/01/2023,0,25096357,0,0,0,0,0,0,0,0,0,0,0,10127,0,0,0,0,0,0,0,0,0,0
64084,6/30/2025 0:00:00,18312,0,40649363,1727378,1876238,1,0,9346213,66738,0,0,0,4513566,4580304,0,0,0,0,0,0,29153586,13446026,51085817,30304256,0,123989685,0,0,0,0,0,0,0,-3754519,0,5063353,0,0,650,5064003,0,0,0,0,650,914788368,0,0,0,0,0,0,0,0,01/01/2023,3202234,1018782897,0,0,0,0,0,0,0,0,0,0,0,5328664,0,-4122,0,0,0,260,10734169,0,0,0
64089,6/30/2025 0:00:00,18317,0,0,26235,0,1,0,34974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525000,500000,350000,300000,0,1675000,0,0,0,0,0,0,0,0,0,0,0,0,0,7398321,0,0,0,0,0,0,0,0,01/01/2023,0,9120539,0,0,0,0,0,0,0,0,0,0,0,11318,0,0,0,0,0,0,0,0,0,0
64103,6/30/2025 0:00:00,18331,0,0,765939,0,1,0,876304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759651,0,0,6107,765758,0,0,0,0,7862,82346803,0,0,0,0,0,0,0,0,01/01/2023,132373,91908579,0,0,0,0,0,0,0,0,0,0,0,171276,0,0,0,0,0,212,7256903,0,0,0
64108,6/30/2025 0:00:00,18336,0,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607097,0,0,0,0,0,0,0,0,,0,2070701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64110,6/30/2025 0:00:00,18338,0,0,473755,212331,1,0,1874325,0,0,0,0,0,0,0,0,0,0,0,0,11147201,12010172,7013600,0,0,30170974,0,0,0,0,0,0,0,189606,0,589000,0,0,0,589000,0,0,0,0,0,145787687,0,0,0,0,0,0,0,0,01/01/2023,549298,156405225,0,0,0,0,0,0,0,0,0,0,0,165102,0,0,0,0,0,0,0,0,0,0
64122,6/30/2025 0:00:00,18350,0,0,1566130,1357665,1,0,326385,0,0,0,0,0,0,0,0,0,0,0,0,490336,1193923,502554,195788,400691,2783292,245000,495000,0,0,0,740000,0,-181589,0,128830,0,0,0,128830,0,0,0,0,0,76604319,0,0,0,56,1453736,1308363,0,0,04/01/2023,248838,82026146,0,0,0,0,0,0,0,0,0,0,0,262317,0,0,0,1,248000,0,0,0,0,0
64131,6/30/2025 0:00:00,18359,0,363810906,18546324,17415226,1,0,140176191,2139099,0,0,0,22055514,24194613,0,0,0,0,0,0,504622902,182832047,411619714,277840373,7259250,1384174286,0,0,0,0,0,0,0,-34984887,0,34873084,0,0,-1739260,33133824,0,0,0,0,2560288,8075201336,0,0,0,0,0,0,0,0,01/01/2023,26171102,9017855175,0,0,0,0,0,0,0,0,0,0,0,34022314,0,1134554,0,3027,2345652,0,0,0,0,0
64140,6/30/2025 0:00:00,18368,0,0,1471526,0,1,0,1418795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,1250000,250000,1000000,3337635,7337635,0,0,0,495000,0,0,0,495000,0,0,0,0,0,81973720,0,0,0,0,0,0,0,0,01/01/2023,97872,91662913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64144,6/30/2025 0:00:00,18372,0,8734298,341429,224397,1,0,319912,0,0,0,0,0,0,0,0,0,0,0,0,7756927,2590154,9926728,2202838,0,22476647,0,0,0,0,0,0,0,-1793513,0,13500,0,0,0,13500,0,0,0,0,0,92422605,0,0,0,0,0,0,0,0,07/01/2023,67301,102433555,0,0,0,0,0,0,0,0,0,0,0,133805,0,0,0,0,0,0,0,0,0,0
64145,6/30/2025 0:00:00,18373,0,0,988846,0,1,0,317460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229389,0,0,0,229389,0,0,0,0,0,77563108,0,0,0,0,0,0,0,0,04/01/2023,61937,85812127,0,0,0,0,0,0,0,0,0,0,0,8324,0,0,0,0,0,12,1690358,0,0,0
64166,6/30/2025 0:00:00,18394,0,89543715,10991363,4981774,1,0,6701066,0,0,0,0,0,0,0,0,0,0,0,0,1873921,2935387,1135942,4873050,2093059,12911359,0,0,0,0,0,0,0,-422172,0,2665939,0,0,0,2665939,0,0,0,0,0,1305150128,3,130804,126616,0,0,0,2,102886,01/01/2023,0,1468653374,0,0,0,0,0,0,0,0,0,0,0,9536051,0,0,0,1668,29732216,0,0,0,0,0
64168,6/30/2025 0:00:00,18396,0,300000,908103,735006,1,0,717358,0,0,0,0,0,0,0,0,0,0,0,0,1870418,6531728,15875919,16266060,0,40544125,1243000,2433000,249000,1000000,0,4925000,0,-3087719,0,294180,0,0,0,294180,0,0,0,0,0,164896802,0,0,0,0,0,0,0,0,10/01/2023,411821,178836092,0,0,0,0,0,0,0,0,0,0,0,641224,0,0,0,0,0,0,0,0,0,0
64169,6/30/2025 0:00:00,18397,0,0,810526,0,1,0,1267201,0,0,0,0,0,0,0,0,0,0,0,0,987633,3773398,4237143,877780,81932,9957885,0,0,0,0,0,0,0,-736764,0,604990,0,0,0,604990,0,0,0,0,0,96741889,0,0,0,0,0,0,0,0,01/01/2023,121415,110497452,0,0,0,0,0,0,0,0,0,0,0,290558,0,0,0,1,450000,0,0,0,0,0
64171,6/30/2025 0:00:00,18399,0,0,4416903,1354691,1,0,6514397,0,0,7549020,0,0,7549020,0,0,0,0,0,0,11036429,9560577,5811534,557003,0,26965544,0,0,0,0,0,0,0,-1335270,0,3106785,0,0,-960,3105825,0,0,0,0,449,1050867121,0,0,0,0,0,0,0,0,07/01/2023,1788892,1151146634,0,0,0,0,0,0,0,0,0,0,0,1847186,0,1049020,0,0,0,354,34624878,0,0,0
