FI Type Name,FI Group Name,FI Industry Name,Company Name,Canadian Trade Company Name,Representative Name,Title,Address Line 1,Address Line 2,City,Province State,Postal ZIP Code,Authorized Insurance Classes
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Citibank, N.A.","Citibank, N.A.",Raymond  Gatcliffe,Principal Officer,123 FRONT STREET WEST,19TH FLOOR,TORONTO,Ontario,M5J 2M3,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Comerica Bank,Comerica Bank,Mahiyar  Panthaki,Principal Officer and CFO,SUITE 2720 TD BANK TOWER,222 BAY STREET,TORONTO,Ontario,M5K 1J3,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Coöperatieve Rabobank U.A.,Rabobank Canada,Marc  Drouin,Principal Officer,ADELAIDE STREET WEST,22,TORONTO,Ontario,M5H 4E3,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Deutsche Bank AG,Deutsche Bank AG,David M. Gynn,OSFI 512 Form,199 BAY STREET,SUITE 1510,Toronto,Ontario,M5L 1E9,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Fifth Third Bank,  National Association","Fifth Third Bank,  National Association",John  Basaraba,"Managing Director & Principal Officer, Vice President",70 YORK STREET,SUITE 1253,TORONTO,Ontario,M5J 1S9,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,First Commercial Bank,First Commercial Bank,Po-Jen  Yang,Principal Officer,100 - 5611 COONEY ROAD,,RICHMOND,British Columbia,V6X 3J6,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",David  Rawlings,Principal Officer,TD BANK TOWER,66 WELLINGTON STREET WEST,TORONTO,Ontario,M5K 1E7,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,M&T Bank,M&T Bank,Neil  Ghai,Principal Officer,2520-161 BAY ST,PO BOX 209,TORONTO,Ontario,M5J 2S1,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"MUFG Bank, Ltd.","MUFG Bank, Ltd., Canada Branch",Craig  Gardner,President,200 BAY STREET,SUITE 3400,Toronto,Ontario,M5J 2J1,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Maple Bank GmbH,Maple Bank (in wind-up under the Winding-up & Restructuring Act) (In Liquidation),,,3500-79 WELLINGTON ST W,,TORONTO,Ontario,M5K 1K7,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Mega International Commercial Bank Co., Ltd.","Mega International Commercial Bank Co., Ltd.",Tung-Liang Thomas Lin,General Manager,1002-4950 YONGE ST,,TORONTO,Ontario,M2N 6K1,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"Mizuho Bank, Ltd.","Mizuho Bank, Ltd., Canada Branch",Koichi  Sakamoto,"Managing Director, Country Head, Canada",40 KING STREET WEST,SUITE 2600,TORONTO,Ontario,M5H 3Y2,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Northern Trust Company (The),"Northern Trust Company, Canada Branch (The)",Jeffrey Paul Alexander,Principal Officer,145 KING STREET WEST,SUITE 1910,TORONTO,Ontario,M5H 1J8,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,"PNC Bank, National Association",PNC Bank Canada Branch,David T. Olsen,Regional President,2140-130 KING ST W,,TORONTO,Ontario,M5X 1E4,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Société Générale,Société Générale (Canada Branch),Pierre  Osterrath,Principal Officer,1800-1501 MCGILL COLLEGE AVE,Bureau 1800,MONTREAL,Quebec,H3A 3M8,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,State Street Bank and Trust Company,State Street,Geoffrey  Behm,Principal Officer,1100-30 ADELAIDE ST E,,TORONTO,Ontario,M5C 3G6,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,Sumitomo Mitsui Banking Corporation,"Sumitomo Mitsui Banking Corporation, Canada Branch",Hiroko  Hosomi,Managing Director and Principal Officer,"SUITE 1400, 222 BAY STREET",PO BOX 172,TORONTO,Ontario,M5K 1H6,
Federally Regulated Financial Institutions,Banks,Foreign Bank Branches - Full Service,U.S. Bank National Association,U.S. Bank National Association,John P Rehob,Principal Officer,23rd floor,120 ADELAIDE ST W,TORONTO,Ontario,M5H 1T1,
