name,url,abbreviation,source
Robert Gordon University,https://www.rgu.ac.uk,,uk:edu
Rose Bruford College of Theatre and Performance,https://www.bruford.ac.uk,,uk:edu
Rnn Group,https://www.rotherham.ac.uk,,uk:edu
Royal Academy of Dance,https://www.rad.org.uk,,uk:edu
"Royal Holloway, University of London",https://www.rhul.ac.uk,,uk:edu
Royal Conservatoire of Scotland,https://www.rcs.ac.uk,,uk:edu
Sandwell College,https://www.sandwell.ac.uk,,uk:edu
Scotland's Rural College,https://www.sruc.ac.uk,,uk:edu
USP College,https://www.uspcollege.ac.uk,,uk:edu
USP College,https://www.uspcollege.ac.uk,,uk:edu
"Sheffield College, the",https://www.sheffcol.ac.uk,,uk:edu
Sheffield Hallam University,https://www.shu.ac.uk,,uk:edu
Shrewsbury College,https://www.shrewsbury.ac.uk,,uk:edu
Solihull College and University Centre,https://www.solihull.ac.uk,,uk:edu
South & City College Birmingham,https://www.sccb.ac.uk,,uk:edu
University Centre South Devon,https://www.southdevon.ac.uk,,uk:edu
Havant and South Downs College,https://www.hsdc.ac.uk/,,uk:edu
South Essex College of Further and Higher Education,https://www.southessex.ac.uk,,uk:edu
The Trafford and Stockport College Group,https://www.trafford.ac.uk,,uk:edu
Southampton Solent University,https://www.solent.ac.uk,,uk:edu
Sparsholt College,https://www.sparsholt.ac.uk,,uk:edu
St Helens College,https://www.sthelens.ac.uk,,uk:edu
Strode College,https://www.strode-college.ac.uk,,uk:edu
University for the Creative Arts,https://www.ucreative.ac.uk,,uk:edu
Tameside College,https://www.tameside.ac.uk,,uk:edu
Oldham College,https://www.oldham.ac.uk,,uk:edu
University of Birmingham,https://www.birmingham.ac.uk,,uk:edu
The University of Liverpool,https://www.liverpool.ac.uk,,uk:edu
New City College,https://www.ncclondon.ac.uk,,uk:edu
Truro and Penwith College,https://www.truro-penwith.ac.uk/,,uk:edu
University of the Highlands and Islands,https://www.uhi.ac.uk,,uk:edu
University of Chichester,https://www.chi.ac.uk,,uk:edu
The University of Northampton,https://www.northampton.ac.uk/apprenticeships/,,uk:edu
Birmingham City University,https://www.bcu.ac.uk,,uk:edu
University of Lancashire,https://www.uclan.ac.uk,,uk:edu
Durham University,https://www.dur.ac.uk,,uk:edu
The University of East London,https://www.uel.ac.uk,,uk:edu
University of Gloucestershire,https://www.glos.ac.uk,,uk:edu
University of Huddersfield,https://www.hud.ac.uk,,uk:edu
University of Hull,https://www.hull.ac.uk,,uk:edu
The University of Kent,https://www.kent.ac.uk,,uk:edu
University of Lincoln,https://www.lincoln.ac.uk,,uk:edu
University of Bedfordshire,https://www.beds.ac.uk,,uk:edu
"University of Nottingham, the",https://www.nottingham.ac.uk,,uk:edu
University of Portsmouth,https://www.port.ac.uk,,uk:edu
The University of Salford,https://www.salford.ac.uk,,uk:edu
University of Sheffield,https://www.shef.ac.uk,,uk:edu
University of Southampton,https://www.soton.ac.uk,,uk:edu
The University of Surrey,https://www.surrey.ac.uk,,uk:edu
"University of the Arts, London",https://www.arts.ac.uk,,uk:edu
